"REGIME","SITUPRE","DIPDER","NIVEAU","SECTDIS","DISCIPLI","NBACH","CURSUS_LMD","RES","SEXE","AGE"
10,"A","A",1,33,6,1,"L","Non_Admis","F",17
10,"A","A",1,27,6,1,"L","Non_Admis","F",19
10,"A","A",1,6,9,1,"L","Non_Admis","F",18
10,"H","N",1,3,15,0,"M","Admis","M",20
10,"A","A",1,36,1,1,"L","Non_Admis","M",19
10,"T","A",1,21,4,0,"L","Non_Admis","M",20
10,"A","A",1,14,15,1,"L","Non_Admis","M",18
10,"A","A",1,33,6,1,"L","Admis","F",18
10,"A","A",1,27,6,1,"L","Non_Admis","M",18
10,"A","A",1,62,2,1,"L","Non_Admis","M",18
10,"A","A",1,10,10,1,"L","Non_Admis","M",18
10,"A","A",1,62,2,1,"L","Non_Admis","F",19
10,"A","A",1,62,2,1,"L","Admis","F",18
10,"A","A",1,24,5,1,"L","Admis","F",18
10,"A","A",1,10,10,1,"L","Non_Admis","M",18
11,"H","A",1,40,3,0,"L","Non_Admis","M",22
10,"A","A",1,36,1,1,"L","Non_Admis","F",18
10,"A","A",1,27,6,1,"L","Non_Admis","M",18
10,"A","A",1,10,10,1,"L","Admis","M",18
10,"A","A",1,33,6,1,"L","Admis","F",17
10,"A","A",1,36,1,1,"L","Non_Admis","M",18
10,"A","A",1,1,15,1,"L","Admis","F",18
10,"A","A",1,33,6,1,"L","Non_Admis","F",18
10,"A","A",1,1,15,1,"L","Admis","M",17
10,"A","A",1,62,2,1,"L","Admis","F",18
10,"A","A",1,1,15,1,"L","Non_Admis","F",18
10,"A","A",1,10,10,1,"L","Admis","M",19
10,"A","A",1,14,15,1,"L","Non_Admis","M",18
10,"A","A",1,27,6,1,"L","Admis","M",19
10,"A","A",1,6,9,1,"L","Admis","M",18
10,"A","A",1,1,15,1,"L","Admis","M",19
10,"A","A",1,36,1,1,"L","Non_Admis","M",18
10,"T","A",1,14,15,0,"L","Admis","M",19
10,"H","Q",2,33,6,0,"M","Non_Admis","F",27
10,"A","A",1,36,1,1,"L","Non_Admis","F",17
10,"A","A",1,40,3,1,"L","Non_Admis","M",18
10,"A","A",1,62,2,1,"L","Non_Admis","M",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",18
10,"A","A",1,6,9,1,"L","Admis","M",18
10,"H","A",1,40,3,0,"L","Non_Admis","M",19
10,"A","A",1,6,9,1,"L","Admis","F",18
10,"T","A",1,21,4,0,"L","Non_Admis","M",21
10,"A","A",1,36,1,1,"L","Non_Admis","M",18
10,"E","Y",2,15,15,0,"M","Admis","M",22
10,"A","A",1,14,15,1,"L","Non_Admis","F",17
10,"A","A",1,36,1,1,"L","Non_Admis","F",19
10,"A","A",1,62,2,1,"L","Admis","F",18
10,"A","A",1,27,6,1,"L","Non_Admis","F",18
10,"A","A",1,10,10,1,"L","Admis","M",18
10,"A","A",1,24,5,1,"L","Admis","F",18
10,"A","A",1,6,9,1,"L","Non_Admis","M",19
10,"A","A",1,40,3,1,"L","Non_Admis","F",18
10,"A","A",1,43,15,1,"L","Non_Admis","F",19
10,"A","A",1,6,9,1,"L","Non_Admis","F",18
10,"A","A",1,14,15,1,"L","Admis","M",17
10,"A","A",1,27,6,1,"L","Admis","F",18
10,"A","A",1,14,15,1,"L","Non_Admis","M",19
10,"A","A",1,27,6,1,"L","Non_Admis","M",19
10,"B","A",2,36,1,0,"L","Non_Admis","M",21
10,"C","C",3,41,15,0,"L","Non_Admis","M",19
10,"H","A",1,43,15,0,"L","Admis","F",19
10,"A","A",1,24,5,1,"L","Non_Admis","F",18
10,"A","A",1,6,9,1,"L","Non_Admis","F",18
20,"U","L",1,34,6,0,"M","Admis","F",28
20,"U","N",1,34,6,0,"M","Admis","F",26
10,"H","A",1,6,9,0,"L","Admis","F",20
10,"H","Q",2,33,6,0,"M","Non_Admis","F",24
10,"R","2",3,43,15,0,"L","Non_Admis","F",22
10,"S","A",1,6,9,0,"L","Admis","M",21
10,"A","A",1,27,6,1,"L","Non_Admis","F",17
10,"A","A",1,62,2,1,"L","Admis","F",18
10,"A","A",1,10,10,1,"L","Non_Admis","M",18
10,"A","A",1,6,9,1,"L","Admis","F",18
10,"A","A",1,36,1,1,"L","Non_Admis","M",17
10,"A","A",1,43,15,1,"L","Non_Admis","M",18
10,"A","A",1,33,6,1,"L","Non_Admis","M",18
10,"S","A",1,14,15,0,"L","Non_Admis","M",21
10,"D","A",1,27,6,0,"L","Non_Admis","F",19
10,"A","A",1,14,15,1,"L","Non_Admis","M",18
10,"A","A",1,14,15,1,"L","Non_Admis","M",18
10,"A","A",1,62,2,1,"L","Admis","M",19
10,"A","A",1,41,15,1,"L","Admis","F",17
10,"H","N",1,40,3,0,"M","Admis","F",23
10,"A","A",1,62,2,1,"L","Non_Admis","M",22
10,"U","B",3,40,3,0,"L","Admis","F",23
11,"H","I",3,41,15,0,"L","Admis","M",29
10,"A","A",1,27,6,1,"L","Non_Admis","M",18
10,"U","B",3,40,3,0,"L","Admis","F",23
10,"H","N",1,15,15,0,"M","Admis","M",24
10,"H","N",1,34,6,0,"M","Admis","F",21
10,"A","A",1,24,5,1,"L","Non_Admis","M",17
10,"H","A",2,10,10,0,"L","Non_Admis","M",20
10,"A","A",1,14,15,1,"L","Non_Admis","M",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",20
10,"A","A",1,36,1,1,"L","Non_Admis","F",18
10,"A","A",1,62,2,1,"L","Non_Admis","M",19
10,"A","A",1,36,1,1,"L","Non_Admis","F",19
10,"A","A",1,36,1,1,"L","Non_Admis","M",18
10,"A","A",1,27,6,1,"L","Non_Admis","M",17
10,"A","A",1,14,15,1,"L","Admis","M",17
10,"A","A",1,14,15,1,"L","Admis","M",19
10,"B","A",1,14,15,0,"L","Non_Admis","F",21
10,"A","A",1,1,15,1,"L","Admis","M",18
20,"H","A",1,33,6,0,"L","Admis","F",21
10,"A","A",1,62,2,1,"L","Non_Admis","F",16
10,"A","A",1,6,9,1,"L","Admis","F",17
